id;address;datahex;updatetime;name;units;datatype;comment;disablelog;highpriolog;tagcache;export;pollinterval;visparams;enums;covincr;extid;readoninit
6929;6929;00;1592850781;Altana_Piwniczka oświetlenie_status;;1;ETS import;1;0;;0;;;;;;
6930;6930;01;1592495752;Urządzenia_Piwniczka wentylator_status;;1001;ETS import;1;0;;0;;;;;;0
6931;6931;00;1592849995;Ogród_Schody 1_status;;1;ETS import;1;0;;0;;;;;;
6932;6932;00;1592838883;Ogród_Skarpa E1_status;;1;ETS import;1;0;;0;;;;;;
6933;6933;00;1592765097;Urządzenia_Oczko wodne_status;;1;ETS import;1;0;;0;;;;;;
6934;6934;00;1592850820;Urządzenia_Fontanna_status;;1;ETS import;1;0;;0;;;;;;
6935;6935;00;1592850811;Oświetlenie schodów do Piwniczki_status;;1;ETS import;1;0;;0;;;;;;
6936;6936;00;1592850815;Oświetlenie Altany 3 LED (zlew)_status;;1;ETS import;1;0;;0;;;;;;
6937;6937;00;1592786101;Oświetlenie Altany 4 LED_status;;1;ETS import;1;0;;0;;;;;;
6938;6938;00;1592850813;Oświetlenie Altany 5 LED_status;;1;ETS import;1;0;;0;;;;;;
6939;6939;00;1592850815;Oświetlenie Altany 6 LED_status;;1;ETS import;1;0;;0;;;;;;
6940;6940;00;1592850804;Urządzenia_Kaskada_status;;1;ETS import;1;0;;0;;;;;;
6941;6941;00;1592849995;Ogród_status;;1001;ETS import;1;0;Osw_Zewn_status;0;;;;;;
6942;6942;00;1592769989;Front_status;;1001;ETS import;1;0;Osw_Zewn_status;0;;;;;;
6943;6943;01;1592495753;Oświetlenie zewnętrzne_status;;1;ETS import;1;0;;0;;;;;;
6944;6944;00;1592849995;Ogród+Taras N_status;;1;ETS import;1;0;;0;;;;;;
6945;6945;00;1591594338;Urządzenia_Drzewo_status;;1;ETS import;1;0;;0;;;;;;
6946;6946;00;1592811795;Ogród_Skarpa W_status;;1;ETS import;1;0;;0;;;;;;
6947;6947;00;1592811795;Ogród_Skarpa E2_status;;1;ETS import;1;0;;0;;;;;;
6948;6948;00;1592811795;Ogród_Schody 2_status;;1;ETS import;1;0;;0;;;;;;
6949;6949;00;1592811795;Ogród_Schody 3_status;;1;ETS import;1;0;;0;;;;;;
6950;6950;00;1592811795;Ogród_Gniazda_status;;1;ETS import;1;0;;0;;;;;;
6951;6951;01;1591594338;Urządzenia_Strumyk zasilanie sterownika RGB_status;;1001;ETS import;1;0;;0;;;;;;
6952;6952;00;1592850815;Altana_status;;1001;ETS import;1;0;Osw_Zewn_status;0;;;;;;
6953;6953;00;1592776890;Taras W gn+ośw_status;;1;ETS import;1;0;;0;;;;;;
6954;6954;00;1592849995;Ogród_Schody_status;;1;ETS import;1;0;;0;;;;;;
6955;6955;00;1592850815;Altana_Górne_status;;1;ETS import;1;0;;0;;;;;;
6956;6956;00;1592838883;Ogród_Skarpa E_status;;1;ETS import;1;0;;0;;;;;;
6957;6957;00;1592786101;Wejścia_status;;1001;ETS import;1;0;Osw_Zewn_status;0;;;;;;
6958;6958;01;1592850820;Urządzenia_status;;1001;ETS import;1;0;Osw_Zewn_status;0;;;;;;
6959;6959;00;1592769989;Front Strych on/off status;;1001;;1;0;;0;;;;;;0
7169;7169;00;1550444491;Gabinet Szefa_U72_status value;;5001;ETS import;1;0;R0.3_pwr;0;;;;;;
7170;7170;00;1592857531;Gabinet Szefa_U86_status value;;5001;ETS import;1;0;R0.3_pwr;0;;;;;;
